iter	Passed	Remaining
0	101	25357
1	150	18702
2	202	16701
3	258	15880
4	308	15127
5	357	14548
6	407	14131
7	456	13819
8	505	13532
9	558	13403
10	611	13276
11	659	13074
12	706	12879
13	765	12895
14	821	12866
15	873	12772
16	937	12845
17	996	12837
18	1051	12780
19	1106	12728
20	1163	12688
21	1230	12753
22	1285	12682
23	1340	12624
24	1391	12519
25	1440	12414
26	1496	12364
27	1545	12252
28	1592	12135
29	1638	12019
30	1690	11942
31	1745	11889
32	1791	11780
33	1837	11674
34	1887	11593
35	1935	11507
36	1986	11436
37	2034	11350
38	2088	11297
39	2140	11237
40	2191	11170
41	2244	11115
42	2297	11058
43	2355	11026
44	2405	10956
45	2455	10891
46	2519	10882
47	2566	10799
48	2616	10733
49	2663	10655
50	2714	10593
51	2763	10524
52	2810	10446
53	2858	10375
54	2908	10312
55	2958	10249
56	3009	10190
57	3057	10120
58	3115	10084
59	3170	10041
60	3230	10010
61	3284	9960
62	3344	9926
63	3404	9894
64	3468	9870
65	3532	9847
66	3579	9775
67	3628	9711
68	3680	9653
69	3739	9615
70	3792	9562
71	3844	9505
72	3904	9466
73	3957	9412
74	4004	9343
75	4051	9276
76	4104	9222
77	4156	9166
78	4214	9121
79	4260	9052
80	4308	8989
81	4357	8927
82	4414	8881
83	4470	8834
84	4505	8746
85	4557	8690
86	4604	8626
87	4651	8562
88	4702	8506
89	4749	8443
90	4800	8388
91	4846	8323
92	4896	8266
93	4945	8207
94	4991	8144
95	5048	8098
96	5094	8036
97	5144	7979
98	5207	7942
99	5255	7883
100	5309	7832
101	5362	7781
102	5415	7728
103	5466	7674
104	5517	7619
105	5581	7582
106	5629	7522
107	5700	7495
108	5747	7435
109	5795	7376
110	5843	7317
111	5891	7259
112	5943	7205
113	5990	7146
114	6037	7087
115	6090	7035
116	6155	6997
117	6205	6941
118	6251	6882
119	6299	6824
120	6349	6769
121	6401	6716
122	6448	6657
123	6497	6602
124	6548	6548
125	6595	6491
126	6653	6443
127	6702	6388
128	6760	6341
129	6808	6284
130	6856	6228
131	6916	6183
132	6964	6127
133	7042	6096
134	7120	6065
135	7193	6030
136	7255	5984
137	7324	5944
138	7412	5919
139	7476	5874
140	7531	5822
141	7588	5771
142	7642	5718
143	7695	5664
144	7744	5608
145	7792	5550
146	7839	5492
147	7889	5437
148	7949	5388
149	8004	5336
150	8066	5288
151	8126	5239
152	8183	5188
153	8231	5131
154	8278	5074
155	8326	5016
156	8375	4961
157	8427	4907
158	8476	4851
159	8532	4799
160	8582	4744
161	8641	4694
162	8692	4639
163	8740	4583
164	8787	4527
165	8833	4470
166	8886	4416
167	8934	4360
168	8979	4304
169	9034	4251
170	9085	4197
171	9146	4148
172	9200	4094
173	9255	4042
174	9312	3990
175	9364	3937
176	9409	3880
177	9465	3828
178	9525	3778
179	9573	3723
180	9626	3669
181	9677	3615
182	9736	3564
183	9791	3512
184	9843	3458
185	9889	3402
186	9937	3347
187	9989	3294
188	10036	3239
189	10092	3187
190	10146	3134
191	10198	3080
192	10251	3027
193	10303	2974
194	10360	2922
195	10416	2869
196	10467	2816
197	10514	2761
198	10563	2707
199	10620	2655
200	10670	2601
201	10722	2548
202	10777	2495
203	10840	2444
204	10893	2391
205	10945	2337
206	11009	2286
207	11055	2232
208	11109	2179
209	11156	2125
210	11202	2070
211	11262	2018
212	11316	1965
213	11368	1912
214	11422	1859
215	11486	1808
216	11533	1754
217	11588	1700
218	11634	1646
219	11683	1593
220	11734	1539
221	11781	1485
222	11832	1432
223	11878	1378
224	11924	1324
225	11977	1271
226	12030	1218
227	12079	1165
228	12126	1112
229	12173	1058
230	12227	1005
231	12275	952
232	12326	899
233	12375	846
234	12426	793
235	12487	740
236	12534	687
237	12588	634
238	12641	581
239	12695	528
240	12741	475
241	12794	422
242	12843	369
243	12901	317
244	12954	264
245	13006	211
246	13060	158
247	13115	105
248	13161	52
249	13210	0
